14837KMSN MSN20050401095509604/01/05 09:55:31  5-MIN KMSN 011555Z 24004KT 10SM BKN065 08/01 A3007 720  60 100 240/04 RMK AO2
14837KMSN MSN20050401100009604/01/05 10:00:31  5-MIN KMSN 011600Z 29003KT 10SM BKN065 08/00 A3007 730  55 100 290/03 RMK AO2
14837KMSN MSN20050401100509604/01/05 10:05:31  5-MIN KMSN 011605Z VRB03KT 10SM BKN065 09/00 A3007 730  53 200 VRB/03 RMK AO2
14837KMSN MSN20050401101009604/01/05 10:10:31  5-MIN KMSN 011610Z 00000KT 10SM OVC060 09/00 A3007 730  53 200 000/00 RMK AO2
14837KMSN MSN20050401101509604/01/05 10:15:31  5-MIN KMSN 011615Z VRB04KT 10SM OVC060 09/M01 A3007 730 51 200 VRB/04 RMK AO2
14837KMSN MSN20050401102009604/01/05 10:20:31  5-MIN KMSN 011620Z VRB03KT 10SM OVC060 09/M01 A3007 730 49 300 VRB/03 RMK AO2
14837KMSN MSN20050401102509604/01/05 10:25:31  5-MIN KMSN 011625Z 24004KT 10SM OVC065 09/M01 A3006 730 51 200 240/04 RMK AO2
14837KMSN MSN20050401103010404/01/05 10:30:31  5-MIN KMSN 011630Z 24005KT 10SM BKN065 OVC085 09/M01  A3006 730 47 300 240/05 RMK AO2
14837KMSN MSN20050401103511104/01/05 10:35:31  5-MIN KMSN 011635Z 26004KT 10SM SCT060 BKN080 BKN090  09/M01 A3006 730 47 300 260/04 RMK AO2
14837KMSN MSN20050401104010404/01/05 10:40:31  5-MIN KMSN 011640Z 27005KT 10SM SCT065 BKN090 10/M01  A3006 740 46 400 270/05 RMK AO2
14837KMSN MSN20050401104510404/01/05 10:45:31  5-MIN KMSN 011645Z 28006KT 10SM FEW070 BKN090 10/M01  A3006 740 46 400 280/06 RMK AO2
14837KMSN MSN20050401105012104/01/05 10:50:31  5-MIN KMSN 011650Z 25004KT 10SM SCT070 BKN090 10/M01  A3006 740 46 400 250/04 RMK AO2 SLP184 T01001011
14837KMSN MSN20050401105510404/01/05 10:55:31  5-MIN KMSN 011655Z VRB06KT 10SM FEW065 BKN090 10/M01  A3005 740 46 400 VRB/06 RMK AO2
14837KMSN MSN20050401110010404/01/05 11:00:31  5-MIN KMSN 011700Z 26007KT 10SM FEW065 BKN090 11/M01  A3005 740 46 400 260/07 RMK AO2
